Club,Expenditure,Arrivals,Income,Departures,Balance,Year
Stoke City,€1.00m,2,-,6,-1000000.0,2024
Stoke City,€23.69m,29,€5.45m,28,-18240000.0,2023
Stoke City,€69.60m,43,€31.43m,47,-38170000.0,2018
Stoke City,€120.60m,40,€65.29m,42,-55310000.0,2017
Stoke City,€99.87m,32,€38.94m,30,-60930000.0,2016
Stoke City,€95.82m,27,€27.00m,27,-68820000.0,2015
Stoke City,€55.45m,31,€27.00m,33,-28450000.0,2014
Stoke City,€30.68m,43,€640k,44,-30040000.0,2012
Stoke City,€48.48m,49,€2.63m,50,-45860000.0,2011
Stoke City,€45.90m,50,€8.76m,49,-37140000.0,2010
Stoke City,€47.15m,47,€13.28m,46,-33880000.0,2009
Stoke City,€60.00m,47,€7.27m,42,-52740000.0,2008
Stoke City,€40.90m,55,€8.15m,51,-32750000.0,2007
Sunderland,€43.31m,47,€56.91m,50,13610000.0,2016
Sunderland,€107.95m,54,€34.77m,48,-73180000.0,2015
Sunderland,€88.57m,50,€18.25m,56,-70320000.0,2014
Sunderland,€56.43m,57,€29.63m,64,-26800000.0,2013
Sunderland,€72.21m,62,€37.21m,63,-35010000.0,2012
Sunderland,€66.22m,61,€41.15m,62,-25070000.0,2011
Sunderland,€57.02m,66,€68.10m,63,11080000.0,2010
Sunderland,€66.10m,55,€63.05m,60,-3050000.0,2009
Sunderland,€70.11m,58,€32.43m,63,-37690000.0,2008
Sunderland,€97.43m,65,€14.35m,55,-83080000.0,2007
Sunderland,€80.42m,62,€13.58m,56,-66840000.0,2006
Sunderland,€22.03m,55,€11.80m,61,-10230000.0,2005
Sunderland,€7.37m,43,€1.43m,48,-5950000.0,2004
Sunderland,€29.96m,53,€23.83m,51,-6130000.0,2002
Sunderland,€59.43m,39,€12.89m,34,-46550000.0,2001
Sunderland,€46.34m,34,€18.41m,40,-27930000.0,2000
Sunderland,€33.56m,48,€17.63m,50,-15940000.0,1999
Sunderland,€19.98m,44,€12.10m,38,-7880000.0,1998
Sunderland,€12.19m,30,€2.06m,28,-10130000.0,1996
Sunderland,€8.85m,33,€297k,28,-8550000.0,1995
Sunderland,€3.53m,22,€2.05m,24,-1470000.0,1993
Swindon,€4.80m,18,€5.98m,17,1180000.0,1993
Tottenham,€23.80m,7,-,3,-23800000.0,2024
Tottenham,€282.10m,32,€120.70m,23,-161400000.0,2023
Tottenham,€452.00m,41,€159.45m,35,-292550000.0,2022
Tottenham,€275.80m,29,€73.37m,33,-202430000.0,2021
Tottenham,€206.40m,29,€47.92m,30,-158480000.0,2020
Tottenham,€261.00m,27,€77.80m,25,-183200000.0,2019
Tottenham,€150.50m,16,€69.85m,18,-80650000.0,2018
Tottenham,€121.00m,19,€109.15m,16,-11850000.0,2017
Tottenham,€204.50m,23,€156.10m,20,-48400000.0,2016
Tottenham,€154.50m,19,€139.55m,29,-14950000.0,2015
Tottenham,€119.48m,31,€131.40m,45,11920000.0,2014
Tottenham,€171.03m,50,€182.55m,52,11520000.0,2013
Tottenham,€195.80m,59,€211.18m,62,15380000.0,2012
Tottenham,€82.25m,65,€116.03m,70,33780000.0,2011
Tottenham,€35.60m,75,€46.19m,69,10590000.0,2010
Tottenham,€66.90m,71,€34.64m,64,-32270000.0,2009
Tottenham,€184.25m,66,€119.75m,66,-64500000.0,2008
Tottenham,€238.10m,60,€110.60m,56,-127500000.0,2007
Tottenham,€155.15m,45,€61.20m,43,-93950000.0,2006
Tottenham,€97.51m,44,€64.10m,47,-33409999.0,2005
Tottenham,€83.64m,62,€35.95m,59,-47690000.0,2004
Tottenham,€76.88m,54,€12.25m,56,-64629999.0,2003
Tottenham,€40.25m,40,€3.10m,44,-37150000.0,2002
Tottenham,€38.55m,33,€11.10m,31,-27450000.0,2001
Tottenham,€53.79m,18,€12.21m,20,-41590000.0,2000
Tottenham,€42.74m,23,€4.26m,28,-38490000.0,1999
Tottenham,€26.78m,31,€2.63m,32,-24150000.0,1998
Tottenham,€27.48m,31,€6.61m,32,-20870000.0,1997
Tottenham,€25.95m,32,€7.46m,33,-18490000.0,1996
Tottenham,€21.62m,38,€15.88m,35,-5740000.0,1995
Tottenham,€22.72m,38,€14.30m,37,-8430000.0,1994
Tottenham,€13.77m,34,€7.17m,37,-6600000.0,1993
Watford,€62.31m,61,€73.68m,62,11370000.0,2021
Watford,€43.50m,59,€83.35m,54,39850000.0,2020
Watford,€56.00m,49,€95.90m,46,39900000.0,2019
Watford,€86.10m,47,€77.24m,48,-8860000.0,2018
Watford,€103.50m,58,€70.58m,57,-32920000.0,2017
Watford,€143.85m,61,€76.84m,62,-67010000.0,2016
Watford,€153.25m,62,€67.85m,62,-85400000.0,2015
Watford,€91.80m,67,€10.30m,64,-81500000.0,2014
Watford,€9.00m,67,€2.63m,75,-6380000.0,2013
Watford,€20.90m,58,€22.80m,51,1900000.0,2006
Watford,€12.20m,61,€16.60m,50,4400000.0,2005
West Brom,€50.77m,37,€29.18m,43,-21590000.0,2020
West Brom,€63.64m,42,€45.37m,36,-18270000.0,2019
West Brom,€36.69m,40,€63.87m,38,27180000.0,2018
West Brom,€68.69m,38,€28.65m,35,-40040000.0,2017
West Brom,€91.40m,30,€29.03m,25,-62380000.0,2016
West Brom,€80.80m,25,€39.90m,27,-40910000.0,2015
West Brom,€67.78m,28,€15.22m,33,-52560000.0,2014
West Brom,€40.58m,32,€13.70m,36,-26880000.0,2013
West Brom,€20.70m,32,€15.13m,34,-5580000.0,2012
West Brom,€14.14m,41,€14.85m,44,707000.0,2011
West Brom,€22.97m,53,€11.97m,51,-11000000.0,2010
West Brom,€21.06m,50,€5.66m,51,-15400000.0,2009
West Brom,€31.55m,43,€15.06m,46,-16489999.0,2008
West Brom,€46.55m,52,€42.50m,47,-4050000.0,2007
West Brom,€25.08m,48,€34.80m,44,9730000.0,2006
West Brom,€18.15m,33,€11.63m,34,-6530000.0,2005
West Brom,€31.15m,34,€11.03m,41,-20130000.0,2004
West Brom,€21.18m,41,€4.27m,45,-16910000.0,2003
West Brom,€22.28m,33,€2.32m,28,-19960000.0,2002
West Brom,€20.80m,24,€7.50m,20,-13300000.0,2001
West Brom,€10.82m,25,€8.06m,22,-2760000.0,2000
West Brom,€8.13m,33,€3.17m,30,-4960000.0,1996
West Ham,€144.56m,16,€181.36m,14,36800000.0,2023
West Ham,€331.16m,24,€191.91m,25,-139250000.0,2022
West Ham,€261.10m,22,€25.79m,21,-235320000.0,2021
West Ham,€129.20m,26,€49.65m,25,-79560000.0,2020
West Ham,€174.50m,26,€101.14m,34,-73360000.0,2019
West Ham,€220.70m,28,€69.50m,30,-151210000.0,2018
West Ham,€157.70m,33,€77.79m,38,-79910000.0,2017
West Ham,€140.30m,37,€105.02m,40,-35280000.0,2016
West Ham,€136.20m,47,€59.52m,41,-76690000.0,2015
West Ham,€87.85m,50,€22.92m,52,-64940000.0,2014
West Ham,€59.15m,49,€4.93m,45,-54220000.0,2013
West Ham,€47.90m,48,€5.58m,47,-42320000.0,2012
West Ham,€35.98m,60,€15.25m,64,-20730000.0,2011
West Ham,€30.11m,54,€15.15m,54,-14960000.0,2010
West Ham,€39.68m,40,€46.25m,44,6580000.0,2009
West Ham,€37.65m,49,€110.13m,51,72480000.0,2008
West Ham,€63.15m,45,€110.83m,42,47680000.0,2007
West Ham,€117.00m,41,€48.75m,40,-68250000.0,2006
West Ham,€91.44m,55,€7.30m,53,-84140000.0,2005
West Ham,€23.10m,56,€5.80m,56,-17300000.0,2004
West Ham,€4.36m,57,€47.35m,62,42990000.0,2003
West Ham,€3.25m,52,€42.18m,55,38930000.0,2002
West Ham,€22.46m,30,€18.20m,37,-4260000.0,2001
West Ham,€40.71m,37,€60.53m,47,19820000.0,2000
West Ham,€27.62m,59,€53.60m,58,25980000.0,1999
West Ham,€20.11m,59,€30.21m,49,10100000.0,1998
West Ham,€23.74m,46,€21.01m,36,-2730000.0,1997
West Ham,€27.40m,42,€4.26m,39,-23140000.0,1996
West Ham,€19.52m,45,€7.34m,44,-12190000.0,1995
West Ham,€13.10m,42,€7.34m,36,-5760000.0,1994
West Ham,€10.39m,35,€4.88m,33,-5510000.0,1993
Whitby,-,2,-,4,,2024
Wigan,€20.56m,66,€42.82m,74,22270000.0,2013
Wigan,€16.94m,57,€37.66m,59,20720000.0,2012
Wigan,€22.91m,44,€24.54m,38,1630000.0,2011
Wigan,€23.78m,46,€14.69m,36,-9090000.0,2010
Wigan,€29.84m,41,€29.38m,39,-455000.0,2009
Wigan,€42.54m,40,€50.48m,44,7950000.0,2008
Wigan,€42.00m,47,€42.33m,47,325000.0,2007
Wigan,€47.28m,48,€42.15m,46,-5130000.0,2006
Wigan,€45.15m,41,€29.95m,43,-15200000.0,2005
Wigan,€17.57m,37,€5.63m,36,-11950000.0,2004
Wigan,€5.40m,36,€1.50m,28,-3900000.0,2003
Wigan,€4.80m,29,€1.50m,25,-3300000.0,2002
Wigan,€7.94m,34,€3.04m,37,-4900000.0,2001
Wimbledon FC,€15.25m,38,€35.56m,39,20310000.0,1999
Wimbledon FC,€25.00m,24,€8.84m,22,-16160000.0,1998
Wimbledon FC,€21.96m,14,€11.20m,12,-10760000.0,1997
Wimbledon FC,€4.19m,31,€10.22m,20,6040000.0,1994
Wimbledon FC,€3.92m,20,€6.07m,17,2160000.0,1993
Wolves,€88.00m,34,€169.20m,34,81200000.0,2023
Wolves,€265.11m,58,€232.07m,61,-33040000.0,2022
Wolves,€214.71m,58,€94.67m,50,-120040000.0,2021
Wolves,€125.19m,47,€111.00m,46,-14190000.0,2020
Wolves,€204.29m,49,€103.30m,50,-100990000.0,2019
Wolves,€229.45m,63,€47.40m,72,-182050000.0,2018
Wolves,€137.36m,69,€29.62m,80,-107740000.0,2017
Wolves,€60.71m,65,€9.31m,60,-51400000.0,2016
Wolves,€45.44m,63,€18.07m,58,-27380000.0,2015
Wolves,€17.18m,63,€36.27m,66,19090000.0,2012
Wolves,€27.38m,63,€32.77m,64,5390000.0,2011
Wolves,€32.27m,57,€9.04m,57,-23230000.0,2010
Wolves,€39.67m,60,€7.31m,51,-32360000.0,2009
Wolves,€28.37m,62,€7.97m,61,-20400000.0,2008
Wolves,€16.42m,60,€7.53m,60,-8900000.0,2007
Wolves,€13.90m,46,€1.37m,41,-12540000.0,2003
Wolves,€9.88m,40,€1.55m,38,-8330000.0,2002
Wolves,€17.83m,36,€2.89m,45,-14940000.0,2001
Wolves,€24.18m,43,€2.49m,40,-21690000.0,2000
Wolves,€11.25m,38,€9.00m,31,-2250000.0,1999
Wolves,€9.07m,28,€2.34m,26,-6730000.0,1994
Wolves,€10.48m,24,€1.44m,22,-9040000.0,1993
Wolves U18,-,1,-,0,,2024
Workington,-,1,-,2,,2024
